- Depth 0 | Player 2 | Move None | Score 0.3 | α=0.3, β=inf
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.438, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.438, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score 0.75 | α=0.75, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.75 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.75, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score 0.75 | α=0.75, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.75 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.75, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 1 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 2 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 3 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 4 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 5 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 6 | Score N/A | α=0, β=0.0 [PRUNED]
        - Depth 2 | Player 2 | Move 4 | Score 0 | α=0, β=0.0
            - Depth 3 | Player 1 | Move 0 | Score 0 | α=-inf, β=0.0
                - Depth 4 | Player 2 | Move 0 | Score 0 | α=0, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 1 | Score 0.487 | α=0.487, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.487 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.487, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 2 | Score 0.75 | α=0.75, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.75 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.75, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 3 | Score 0.438 | α=0.438, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.438 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.438, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.438, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.438, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.438, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.438, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.438, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 4 | Score 0.45 | α=0.45, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.45 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.45, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.45, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.45, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.45, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.45, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.45, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score 0.463 | α=0.463, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.463 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.463, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.463, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.463, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.463, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.463, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.463, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score 0.75 | α=0.75, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.75 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.75, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 1 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 2 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 3 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 4 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 5 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 6 | Score N/A | α=0, β=0.0 [PRUNED]
        - Depth 2 | Player 2 | Move 5 | Score 0 | α=0, β=0.0
            - Depth 3 | Player 1 | Move 0 | Score 0 | α=-inf, β=0.0
                - Depth 4 | Player 2 | Move 0 | Score 0 | α=0, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 1 | Score 0.487 | α=0.487, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.487 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.487, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 2 | Score 0.75 | α=0.75, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.75 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.75, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 3 | Score 0.75 | α=0.75, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.75 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.75, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 4 | Score 0.463 | α=0.463, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.463 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.463, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.463, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.463, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.463, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.463, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.463, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score 0.475 | α=0.475, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.475 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.475, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.475, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.475, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.475, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.475, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.475, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score 0.487 | α=0.487, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.487 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.487, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 1 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 2 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 3 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 4 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 5 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 6 | Score N/A | α=0, β=0.0 [PRUNED]
        - Depth 2 | Player 2 | Move 6 | Score 0 | α=0, β=0.0
            - Depth 3 | Player 1 | Move 0 | Score 0 | α=-inf, β=0.0
                - Depth 4 | Player 2 | Move 0 | Score 0 | α=0, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 1 | Score 0.487 | α=0.487, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.487 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.487, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 2 | Score 0.75 | α=0.75, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.75 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.75, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 3 | Score 0.75 | α=0.75, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.75 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.75, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 4 | Score 0.75 | α=0.75, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.75 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.75, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.75, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score 0.487 | α=0.487, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.487 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.487, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.487, β=0.0 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score 0.5 | α=0.5, β=0.0
                    - Depth 5 | Player 1 | Move 0 | Score 0.5 | α=-inf, β=0.0
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.5, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.5, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.5, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.5, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.5, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.5, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 1 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 2 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 3 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 4 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 5 | Score N/A | α=0, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 6 | Score N/A | α=0, β=0.0 [PRUNED]
    - Depth 1 | Player 1 | Move 1 | Score 0.1 | α=0.0, β=0.1
        - Depth 2 | Player 2 | Move 0 | Score 0.1 | α=0.1, β=inf
            - Depth 3 | Player 1 | Move 0 | Score -0.487 | α=0.0, β=-0.487
                - Depth 4 | Player 2 | Move 0 | Score 0.288 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 0 | Score -0.25 | α=0.0, β=inf
                    - Depth 5 | Player 1 | Move 1 | Score 0.288 | α=0.0, β=inf
                    - Depth 5 | Player 1 | Move 2 | Score 0.037 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 3 | Score -0.25 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 4 | Score -0.25 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 5 | Score -0.25 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 6 | Score -0.25 | α=0.288, β=inf
                - Depth 4 | Player 2 | Move 1 | Score -0.487 | α=0.0, β=0.288
                    - Depth 5 | Player 1 | Move 0 | Score -0.525 | α=0.0, β=0.288
                    - Depth 5 | Player 1 | Move 1 | Score -0.512 | α=0.0, β=0.288
                    - Depth 5 | Player 1 | Move 2 | Score -0.487 | α=0.0, β=0.288
                    - Depth 5 | Player 1 | Move 3 | Score -0.775 | α=0.0, β=0.288
                    - Depth 5 | Player 1 | Move 4 | Score -0.775 | α=0.0, β=0.288
                    - Depth 5 | Player 1 | Move 5 | Score -0.775 | α=0.0, β=0.288
                    - Depth 5 | Player 1 | Move 6 | Score -0.775 | α=0.0, β=0.288
                - Depth 4 | Player 2 | Move 2 | Score N/A | α=0.0, β=-0.487 [PRUNED]
                - Depth 4 | Player 2 | Move 3 | Score N/A | α=0.0, β=-0.487 [PRUNED]
                - Depth 4 | Player 2 | Move 4 | Score N/A | α=0.0, β=-0.487 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score N/A | α=0.0, β=-0.487 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score N/A | α=0.0, β=-0.487 [PRUNED]
            - Depth 3 | Player 1 | Move 1 | Score 0.1 | α=0.0, β=0.1
                - Depth 4 | Player 2 | Move 0 | Score 0.1 | α=0.1, β=inf
                    - Depth 5 | Player 1 | Move 0 | Score -0.475 | α=0.0, β=inf
                    - Depth 5 | Player 1 | Move 1 | Score 0.1 | α=0.0, β=inf
                    - Depth 5 | Player 1 | Move 2 | Score -0.15 | α=0.1, β=inf
                    - Depth 5 | Player 1 | Move 3 | Score -0.725 | α=0.1, β=inf
                    - Depth 5 | Player 1 | Move 4 | Score -0.725 | α=0.1, β=inf
                    - Depth 5 | Player 1 | Move 5 | Score -0.725 | α=0.1, β=inf
                    - Depth 5 | Player 1 | Move 6 | Score -0.725 | α=0.1, β=inf
                - Depth 4 | Player 2 | Move 1 | Score 0.338 | α=0.338, β=0.1
                    - Depth 5 | Player 1 | Move 0 | Score 0.025 | α=0.0, β=0.1
                    - Depth 5 | Player 1 | Move 1 | Score -0.237 | α=0.025, β=0.1
                    - Depth 5 | Player 1 | Move 2 | Score 0.338 | α=0.025, β=0.1
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.338, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.338, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.338, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.338, β=0.1 [PRUNED]
                - Depth 4 | Player 2 | Move 2 | Score 0.288 | α=0.288, β=0.1
                    - Depth 5 | Player 1 | Move 0 | Score 0.288 | α=0.0, β=0.1
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.288, β=0.1 [PRUNED]
                - Depth 4 | Player 2 | Move 3 | Score 0.288 | α=0.288, β=0.1
                    - Depth 5 | Player 1 | Move 0 | Score 0.288 | α=0.0, β=0.1
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.288, β=0.1 [PRUNED]
                - Depth 4 | Player 2 | Move 4 | Score 0.288 | α=0.288, β=0.1
                    - Depth 5 | Player 1 | Move 0 | Score 0.288 | α=0.0, β=0.1
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.288, β=0.1 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score 0.288 | α=0.288, β=0.1
                    - Depth 5 | Player 1 | Move 0 | Score 0.288 | α=0.0, β=0.1
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.288, β=0.1 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score 0.288 | α=0.288, β=0.1
                    - Depth 5 | Player 1 | Move 0 | Score 0.288 | α=0.0, β=0.1
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.288, β=0.1 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.288, β=0.1 [PRUNED]
            - Depth 3 | Player 1 | Move 2 | Score -0.088 | α=0.1, β=-0.088
                - Depth 4 | Player 2 | Move 0 | Score -0.088 | α=0.1, β=inf
                    - Depth 5 | Player 1 | Move 0 | Score -0.463 | α=0.1, β=inf
                    - Depth 5 | Player 1 | Move 1 | Score -0.15 | α=0.1, β=inf
                    - Depth 5 | Player 1 | Move 2 | Score -0.125 | α=0.1, β=inf
                    - Depth 5 | Player 1 | Move 3 | Score -0.088 | α=0.1, β=inf
                    - Depth 5 | Player 1 | Move 4 | Score -0.713 | α=0.1, β=inf
                    - Depth 5 | Player 1 | Move 5 | Score -0.713 | α=0.1, β=inf
                    - Depth 5 | Player 1 | Move 6 | Score -0.713 | α=0.1, β=inf
                - Depth 4 | Player 2 | Move 1 | Score N/A | α=0.1, β=-0.088 [PRUNED]
                - Depth 4 | Player 2 | Move 2 | Score N/A | α=0.1, β=-0.088 [PRUNED]
